Lineage name	England	Wales	Scotland	Northern Ireland	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK200	62 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, May-14	62	B.1.p11	10	0.059
UK194	61 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-24	61	B.1.1	30	0.02
UK343	60 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-24	60	B.1	30	0.0153
UK115	58 (98.31%)	1 (1.69%)	0 (0%)	0 (0%)	Mar-15, Apr-20	59	B.2.1	34	0.0183
UK233	59 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, May-13	59	B.1.1	11	0.0549
UK51	50 (87.72%)	0 (0%)	6 (10.53%)	1 (1.75%)	Mar-21, May-19	57	B.1.36	5	0.2107
UK476	56 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, May-06	56	B.1.1	18	0.0364
UK225	1 (1.79%)	2 (3.57%)	50 (89.29%)	3 (5.36%)	Mar-14, Apr-10	56	B.2	44	0.0112
UK112	55 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, May-04	55	B.1.1, B.1.1.p11	20	0.0463
UK62	52 (94.55%)	0 (0%)	3 (5.45%)	0 (0%)	Mar-12, Apr-23	55	B.3	31	0.0251
UK12	36 (65.45%)	0 (0%)	18 (32.73%)	1 (1.82%)	Mar-12, May-13	55	B.1.p11	11	0.1044
UK204	54 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, May-12	54	B.1.1	12	0.055
UK33	50 (96.15%)	0 (0%)	2 (3.85%)	0 (0%)	Mar-21, May-15	52	B.1.1	9	0.1198
UK199	52 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, May-17	52	B.1.5.5	7	0.1092
UK11	46 (90.2%)	3 (5.88%)	2 (3.92%)	0 (0%)	Mar-04, Apr-11	51	B.1	43	0.0177
UK53	26 (52.0%)	0 (0%)	24 (48.0%)	0 (0%)	Mar-26, May-22	50	B.1.1.4	2	0.5816
UK3	48 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-24, May-10	48	B.1	14	0.1155
UK94	47 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-19	47	B.2, B.2.1	35	0.0236
UK13	46 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, May-13	46	B.1.1	11	0.1232
UK28	45 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, May-01	45	B.1.1.10	23	0.0484
UK760	1 (2.27%)	0 (0%)	0 (0%)	43 (97.73%)	Mar-21, Apr-22	44	B.1.1	32	0.0233
UK238	44 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, May-03	44	B.1.1	21	0.0498
UK513	43 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-29	43	B.1.p11	25	0.0457
UK8	38 (90.48%)	2 (4.76%)	2 (4.76%)	0 (0%)	Mar-03, May-01	42	B	23	0.0626
UK88	0 (0%)	1 (2.44%)	40 (97.56%)	0 (0%)	Mar-22, May-12	41	B.1	12	0.1062
UK187	4 (10.0%)	26 (65.0%)	5 (12.5%)	5 (12.5%)	Mar-23, Apr-28	40	B.1	26	0.0355
UK44	0 (0%)	0 (0%)	39 (97.5%)	1 (2.5%)	Mar-17, May-01	40	B	23	0.0502
UK86	16 (41.03%)	23 (58.97%)	0 (0%)	0 (0%)	Mar-05, Apr-28	39	B.1	26	0.0547
UK2240	37 (94.87%)	0 (0%)	2 (5.13%)	0 (0%)	Mar-01, Apr-19	39	B.1	35	0.0368
UK131	34 (87.18%)	5 (12.82%)	0 (0%)	0 (0%)	Mar-11, Apr-14	39	B, B.15	40	0.0224
UK23	37 (97.37%)	0 (0%)	1 (2.63%)	0 (0%)	Mar-12, May-02	38	B.9, B	22	0.0627
UK214	37 (97.37%)	0 (0%)	1 (2.63%)	0 (0%)	Mar-14, May-13	38	B.1.1	11	0.1474
UK5098	1 (2.7%)	0 (0%)	36 (97.3%)	0 (0%)	Mar-21, May-09	37	B.1.p73, B.2.1	15	0.0907
UK128	37 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, May-23	37	B.1.1	1	1.3889
UK346	36 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-19	36	B.1, B.1.72	35	0.0278
UK283	36 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, May-04	36	B.1.1	20	0.0571
UK179	14 (38.89%)	22 (61.11%)	0 (0%)	0 (0%)	Mar-17, May-01	36	B.1.1.p11	23	0.0559
UK57	35 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, May-04	35	B.1.1	20	0.0662
UK147	34 (97.14%)	0 (0%)	1 (2.86%)	0 (0%)	Apr-04, May-22	35	B.1.1	2	0.7059
UK1845	30 (88.24%)	2 (5.88%)	1 (2.94%)	1 (2.94%)	Mar-01, Apr-11	34	B	43	0.0289
UK18	34 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, May-03	34	B.1.1.7	21	0.0765
UK41	25 (73.53%)	9 (26.47%)	0 (0%)	0 (0%)	Mar-01, Apr-27	34	B.1	27	0.064
UK138	33 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-26	33	B.2.1	28	0.0379
UK64	24 (72.73%)	9 (27.27%)	0 (0%)	0 (0%)	Mar-12, Apr-20	33	B.1	34	0.0358
UK14	7 (21.88%)	0 (0%)	25 (78.12%)	0 (0%)	Mar-04, Apr-27	32	B	27	0.0645
UK167	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-21	31	B.1.66, B.1	3	0.5889
UK119	23 (74.19%)	7 (22.58%)	1 (3.23%)	0 (0%)	Mar-11, Apr-16	31	B.2.5	38	0.0316
UK173	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, May-06	31	B	18	0.0944
UK300	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, May-04	30	B.1.1	20	0.0638
UK79	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, May-05	30	B.1	19	0.0762
UK5672	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, May-13	30	B.2	11	0.1693
UK43	1 (3.45%)	0 (0%)	28 (96.55%)	0 (0%)	Mar-12, Apr-26	29	A.5	28	0.0574
UK241	29 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-16	29	B.1.5.3	38	0.0235
UK95	28 (96.55%)	0 (0%)	1 (3.45%)	0 (0%)	Mar-10, May-03	29	B.2.1	21	0.0918
UK183	28 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-28	28	B.1.1	26	0.0427
UK116	28 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-25, Apr-01	28	B.2.1	53	0.0252
UK193	18 (64.29%)	10 (35.71%)	0 (0%)	0 (0%)	Apr-01, May-01	28	B.1.1	23	0.0483
UK82	1 (3.57%)	0 (0%)	27 (96.43%)	0 (0%)	Mar-25, May-06	28	B.1.1, B.1.1.p11	18	0.0864
UK5675	25 (89.29%)	1 (3.57%)	1 (3.57%)	1 (3.57%)	Mar-03, Apr-10	28	B.2	44	0.032
UK45	14 (53.85%)	10 (38.46%)	2 (7.69%)	0 (0%)	Mar-01, Apr-20	26	B.1.1	34	0.0588
UK46	25 (96.15%)	1 (3.85%)	0 (0%)	0 (0%)	Mar-02, May-08	26	B.2.1	16	0.1675
UK351	26 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-13, May-17	26	B.1.1.10, B.1.1	7	0.1943
UK565	26 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, May-13	26	B.1.1	11	0.1564
UK144	26 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-05, Apr-07	26	B.2.1	47	0.0281
UK109	23 (88.46%)	1 (3.85%)	2 (7.69%)	0 (0%)	Mar-21, May-01	26	B.1.5	23	0.0713
UK92	25 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-28	25	B.1.1	26	0.0577
UK296	0 (0%)	0 (0%)	25 (100.0%)	0 (0%)	Apr-08, May-13	25	B.1.5	11	0.1326
UK81	24 (96.0%)	0 (0%)	1 (4.0%)	0 (0%)	Mar-19, Apr-27	25	B.1.1	27	0.0602
UK5649	22 (88.0%)	2 (8.0%)	1 (4.0%)	0 (0%)	Mar-15, May-01	25	B.2.6	23	0.0851
UK5549	21 (87.5%)	0 (0%)	1 (4.17%)	2 (8.33%)	Mar-04, May-10	24	B.2.2	14	0.2081
UK56	24 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, May-06	24	B.1.1	18	0.1135
UK21	0 (0%)	0 (0%)	24 (100.0%)	0 (0%)	Mar-18, May-23	24	B.1.40	1	2.8696
UK473	0 (0%)	24 (100.0%)	0 (0%)	0 (0%)	Apr-02, Apr-29	24	B.1.1	25	0.047
UK633	0 (0%)	24 (100.0%)	0 (0%)	0 (0%)	Apr-03, May-01	24	B.1.1.16, B.1.1.p16	23	0.0529
UK101	22 (95.65%)	0 (0%)	1 (4.35%)	0 (0%)	Mar-21, Apr-27	23	B.1.5	27	0.0623
UK235	23 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, May-04	23	B.1.1	20	0.1
UK322	3 (13.04%)	15 (65.22%)	5 (21.74%)	0 (0%)	Mar-16, Apr-26	23	B.1, B.1.5	28	0.0666
UK156	0 (0%)	9 (39.13%)	14 (60.87%)	0 (0%)	Mar-18, Apr-30	23	B.1.71	24	0.0814
UK326	23 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, May-22	23	B.1.1.10	2	1.3864
UK103	23 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, May-20	23	B.1.1	4	0.6932
UK30	22 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, May-15	22	B.1.1	9	0.3228
UK4507	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Apr-14, May-03	22	B.1	21	0.0431
UK279	22 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Apr-25	22	B.1.1	29	0.0493
UK114	22 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-21	22	B.1.1	33	0.0519
UK394	5 (23.81%)	16 (76.19%)	0 (0%)	0 (0%)	Mar-24, Apr-24	21	B.1.1.10, B.1.1	30	0.0517
UK5309	18 (85.71%)	3 (14.29%)	0 (0%)	0 (0%)	Mar-20, Apr-29	21	B.1.1.10, B.1.1	25	0.08
UK5561	4 (19.05%)	12 (57.14%)	4 (19.05%)	1 (4.76%)	Mar-20, Apr-27	21	B.2.2	27	0.0704
UK174	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, May-22	21	B.1.5	2	1.6
UK113	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, May-19	21	B.1.1	5	0.58
UK5668	0 (0%)	0 (0%)	21 (100.0%)	0 (0%)	Mar-13, May-09	21	B.2	15	0.19
UK291	20 (95.24%)	1 (4.76%)	0 (0%)	0 (0%)	Mar-13, Apr-05	21	B.2.1	49	0.0235
UK384	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-02	21	B.2.1	52	0.0183
UK135	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, May-14	21	B.1.p11	10	0.215
UK293	20 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-28	20	B.1	26	0.0709
UK24	20 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-30	20	B.1.1.10, B.1.1	24	0.0943
UK298	0 (0%)	20 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-29	20	B.1.1	25	0.0695
UK75	20 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Apr-26	20	B.1, B.1.34	28	0.0752
UK87	0 (0%)	0 (0%)	20 (100.0%)	0 (0%)	Mar-13, Apr-20	20	B.1.70	34	0.0588
UK514	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-13	19	B.1.1	41	0.019
UK419	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, May-02	19	B.1.1	22	0.0833
UK150	0 (0%)	0 (0%)	19 (100.0%)	0 (0%)	Mar-21, Apr-22	19	B.1.1.p12	32	0.0556
UK403	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, May-04	19	B.1.1	20	0.1167
UK307	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, May-04	19	B.1.1	20	0.1028
UK461	0 (0%)	0 (0%)	19 (100.0%)	0 (0%)	Apr-18, May-19	19	B.1.5	5	0.3444
UK134	15 (78.95%)	0 (0%)	4 (21.05%)	0 (0%)	Mar-04, Apr-07	19	B.1	47	0.0402
UK155	10 (52.63%)	7 (36.84%)	1 (5.26%)	1 (5.26%)	Feb-27, May-03	19	B.1	21	0.1746
UK304	0 (0%)	0 (0%)	18 (100.0%)	0 (0%)	Apr-16, May-20	18	B.1.1.14	4	0.5
UK5378	6 (33.33%)	12 (66.67%)	0 (0%)	0 (0%)	Mar-23, May-01	18	B.1.1	23	0.0997
UK248	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, May-11	18	B.1.1	13	0.1493
UK472	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Apr-04, Apr-27	18	B.1.1, B.1.1.p11	27	0.0501
UK117	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-28, Apr-04	18	B.2.1	50	0.0424
UK502	0 (0%)	0 (0%)	18 (100.0%)	0 (0%)	Mar-06, Mar-30	18	B.1.69	55	0.0257
UK143	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-16	18	B.2.1	38	0.0511
UK5084	15 (88.24%)	2 (11.76%)	0 (0%)	0 (0%)	Mar-23, Apr-16	17	B.1, B.1.p11, B.2.1	38	0.0395
UK604	12 (70.59%)	2 (11.76%)	3 (17.65%)	0 (0%)	Mar-06, Mar-17	17	B.1.1	68	0.0101
UK444	16 (94.12%)	1 (5.88%)	0 (0%)	0 (0%)	Mar-24, May-02	17	B.1.1	22	0.1108
UK277	3 (17.65%)	14 (82.35%)	0 (0%)	0 (0%)	Mar-28, May-07	17	B.1.1	17	0.1471
UK163	11 (64.71%)	1 (5.88%)	5 (29.41%)	0 (0%)	Mar-27, May-03	17	B.1.1	21	0.1101
UK2557	7 (41.18%)	5 (29.41%)	5 (29.41%)	0 (0%)	Mar-22, May-13	17	B.1.p11	11	0.2955
UK38	10 (58.82%)	0 (0%)	7 (41.18%)	0 (0%)	Mar-04, May-01	17	B.2.1	23	0.1576
UK47	11 (68.75%)	5 (31.25%)	0 (0%)	0 (0%)	Mar-17, Apr-13	16	B.1.1	41	0.0439
UK392	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Mar-25, Apr-12	16	B.1.67	42	0.0286
UK195	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-03	16	B.1.1	21	0.1111
UK203	12 (75.0%)	4 (25.0%)	0 (0%)	0 (0%)	Mar-31, May-17	16	B.1.1	7	0.4476
UK888	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-05, May-01	16	B.1.1	23	0.0754
UK67	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, May-21	16	B.1.1	3	1.2667
UK146	14 (93.33%)	0 (0%)	1 (6.67%)	0 (0%)	Mar-24, May-07	15	B.1.1	17	0.1849
UK236	14 (93.33%)	1 (6.67%)	0 (0%)	0 (0%)	Mar-27, Apr-22	15	B.1.1	32	0.058
UK5556	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Mar-18, Apr-16	15	B.2.2	38	0.0545
UK2045	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Apr-29	15	B.1, B	25	0.1229
UK397	13 (86.67%)	0 (0%)	2 (13.33%)	0 (0%)	Mar-28, Apr-14	15	B.1.1.13	40	0.0304
UK269	12 (80.0%)	3 (20.0%)	0 (0%)	0 (0%)	Mar-31, May-06	15	B.1.1	18	0.1429
UK374	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, Apr-20	15	B.1.1	34	0.0399
UK264	0 (0%)	0 (0%)	15 (100.0%)	0 (0%)	Mar-29, Apr-22	15	B.1.p11	32	0.0536
UK295	1 (6.67%)	1 (6.67%)	3 (20.0%)	10 (66.67%)	Mar-11, Apr-22	15	B	32	0.0938
UK5669	0 (0%)	0 (0%)	15 (100.0%)	0 (0%)	Mar-24, May-07	15	B.2	17	0.1849
UK249	14 (93.33%)	1 (6.67%)	0 (0%)	0 (0%)	Mar-31, Apr-25	15	B.1.1	29	0.0616
UK5409	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-19	14	B.1.1	35	0.0615
UK726	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, May-04	14	B.1	20	0.1346
UK370	0 (0%)	0 (0%)	14 (100.0%)	0 (0%)	Apr-06, Apr-27	14	B.1.1.10	27	0.0598
UK376	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, May-08	14	B.1.1	16	0.1442
UK253	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, May-03	14	B.1.1	21	0.1099
UK303	4 (28.57%)	10 (71.43%)	0 (0%)	0 (0%)	Mar-23, Apr-14	14	B.1.1	40	0.0423
UK71	13 (92.86%)	1 (7.14%)	0 (0%)	0 (0%)	Mar-08, Apr-30	14	B	24	0.1699
UK5498	13 (92.86%)	0 (0%)	1 (7.14%)	0 (0%)	Mar-23, Apr-20	14	B.1.1, B.2	34	0.0633
UK5180	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Apr-24	14	B.1.1.7	30	0.0513
UK276	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, May-04	14	B.1.1	20	0.1808
UK441	11 (78.57%)	3 (21.43%)	0 (0%)	0 (0%)	Apr-04, May-01	14	B.1.1	23	0.0903
UK635	5 (35.71%)	9 (64.29%)	0 (0%)	0 (0%)	Apr-05, May-13	14	B.1.1	11	0.2657
UK722	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, May-05	14	B.1.1	19	0.1417
UK153	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-14	14	B.2	40	0.0615
UK254	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-14	14	B.1.1	40	0.0481
UK186	12 (92.31%)	1 (7.69%)	0 (0%)	0 (0%)	Mar-27, May-15	13	B	9	0.4537
UK637	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, May-01	13	B.1.1	23	0.1232
UK5260	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-02	13	B.1.1	22	0.1288
UK58	6 (46.15%)	0 (0%)	7 (53.85%)	0 (0%)	Mar-12, Apr-09	13	B.1	45	0.0519
UK603	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-09	13	B.1.1	45	0.0204
UK219	10 (76.92%)	0 (0%)	3 (23.08%)	0 (0%)	Mar-26, May-02	13	B.1.1	22	0.1402
UK34	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-15, Apr-02	13	B.4	52	0.0753
UK278	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-10, May-07	13	B.1.1	17	0.1324
UK378	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-15, Mar-05	13	B.1.1	80	0.0198
UK354	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-07	13	B.1.1	47	0.0355
UK308	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-09, May-18	13	B.1.1	6	0.5417
UK5715	12 (92.31%)	0 (0%)	1 (7.69%)	0 (0%)	Feb-13, Apr-22	13	B.2	32	0.1797
UK558	0 (0%)	0 (0%)	13 (100.0%)	0 (0%)	Apr-24, May-22	13	B.1.5	2	1.1667
UK132	10 (76.92%)	1 (7.69%)	2 (15.38%)	0 (0%)	Mar-27, Apr-30	13	B.1	24	0.1181
UK501	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, Apr-22	13	B.1, B	32	0.0495
UK126	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-03	12	B.1.1	21	0.1515
UK73	0 (0%)	0 (0%)	12 (100.0%)	0 (0%)	Apr-01, May-10	12	B.1.p11	14	0.2532
UK694	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-06, Mar-14	12	B	71	0.0102
UK479	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, May-12	12	B.1.1	12	0.3258
UK499	0 (0%)	0 (0%)	12 (100.0%)	0 (0%)	Apr-24, May-15	12	B.1.5	9	0.2121
UK347	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-02	12	B.1	52	0.035
UK180	11 (91.67%)	1 (8.33%)	0 (0%)	0 (0%)	Mar-30, May-01	12	B.1.1	23	0.1265
UK137	2 (16.67%)	0 (0%)	10 (83.33%)	0 (0%)	Mar-10, Apr-13	12	B.1.1	41	0.0754
UK504	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-13	12	B.1.1	41	0.031
UK100	1 (8.33%)	0 (0%)	11 (91.67%)	0 (0%)	Mar-22, May-12	12	B.1.5	12	0.3864
UK261	0 (0%)	0 (0%)	12 (100.0%)	0 (0%)	Mar-15, Apr-08	12	A.3	46	0.0474
UK511	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-05, May-06	12	B.1.1	18	0.1566
UK168	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-16	12	B.2.1	38	0.0742
UK148	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, May-13	12	B.1.1	11	0.3388
UK202	6 (50.0%)	5 (41.67%)	1 (8.33%)	0 (0%)	Mar-10, May-01	12	B.1.1	23	0.2055
UK111	11 (91.67%)	1 (8.33%)	0 (0%)	0 (0%)	Mar-25, May-01	12	B.1.1	23	0.1462
UK251	11 (91.67%)	1 (8.33%)	0 (0%)	0 (0%)	Mar-17, May-02	12	B.1.1	22	0.1901
UK5685	9 (75.0%)	1 (8.33%)	2 (16.67%)	0 (0%)	Mar-17, Apr-13	12	B.2	41	0.0599
UK329	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-11, May-09	12	B.1.1	15	0.1697
UK160	0 (0%)	0 (0%)	12 (100.0%)	0 (0%)	Mar-31, May-02	12	B.1.1	22	0.1322
UK5339	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-15, Apr-29	11	B.1.1	25	0.056
UK266	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-06, Apr-30	11	B.1	24	0.1
UK211	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-30	11	B.1.5	24	0.1542
UK530	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-13	11	B.1.1	41	0.0317
UK83	8 (72.73%)	1 (9.09%)	2 (18.18%)	0 (0%)	Feb-29, Apr-08	11	B.1.1	46	0.0848
